,Year,Title,Album,Artist,Release_Date,Duration,Popularity,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Time_Signature
0,2015,679 (feat. Remy Boyz),679 (feat. Remy Boyz),Fetty Wap,2015-06-29,196693,74,0.00256,0.618,0.717,0.0,0.625,-5.738,0.318,190.05,4
1,2015,Lean On,Lean On,Major Lazer,2015-03-02,176561,0,0.00339,0.713,0.79,0.000868,0.485,-4.602,0.0574,98.011,4
2,2015,Trap Queen,Trap Queen,Fetty Wap,2014-12-15,222093,42,0.0244,0.746,0.873,0.0,0.354,-3.803,0.128,148.075,4
3,2015,Where Are Ü Now (with Justin Bieber),Skrillex and Diplo present Jack Ü,Jack Ü,2015-02-24,250285,74,0.041,0.432,0.781,4.21e-06,0.0789,-4.038,0.0567,139.432,4
4,2015,My Way (feat. Monty),My Way (feat. Monty),Fetty Wap,2015-07-17,213053,28,0.00419,0.748,0.741,0.0,0.147,-3.103,0.0531,128.077,4
5,2015,The Hills,The Hills,The Weeknd,2015-05-27,242519,0,0.0843,0.587,0.566,0.0,0.145,-7.017,0.0528,113.025,4
6,2015,Post to Be (feat. Chris Brown & Jhene Aiko),Sex Playlist,Omarion,2014-12-02,226580,69,0.0697,0.733,0.676,0.0,0.208,-5.655,0.0432,97.448,4
7,2015,What Do You Mean?,What Do You Mean?,Justin Bieber,2015-08-28,207546,0,0.65,0.841,0.571,0.00033,0.0895,-8.066,0.102,125.032,4
8,2015,Marvin Gaye (feat. Meghan Trainor),Marvin Gaye (feat. Meghan Trainor),Charlie Puth,2015-02-10,187741,44,0.451,0.792,0.621,0.0,0.337,-5.267,0.049,110.025,4
9,2015,Good For You,Good For You,Selena Gomez,2015-08-07,221560,0,0.154,0.6,0.676,0.0,0.0741,-6.447,0.0652,88.928,4
10,2015,Can't Feel My Face,Can’t Feel My Face,The Weeknd,2015-06-08,215612,0,0.142,0.705,0.758,0.0,0.109,-5.482,0.0506,107.965,4
11,2015,See You Again (feat. Charlie Puth),See You Again (feat. Charlie Puth),Wiz Khalifa,2015-03-10,229525,0,0.369,0.689,0.481,1.03e-06,0.0649,-7.503,0.0815,80.025,4
12,2015,Fight Song,Fight Song - EP,Rachel Platten,2015-05-12,204066,29,0.0881,0.639,0.707,0.0,0.176,-5.062,0.0739,87.944,4
13,2015,Cool for the Summer,Cool for the Summer,Demi Lovato,2015-07-01,214746,0,0.00441,0.586,0.613,0.000183,0.0853,-5.593,0.0386,114.101,4
14,2015,That's How You Know (feat. Kid Ink & Bebe Rexha),That's How You Know (feat. Kid Ink & Bebe Rexha),Nico & Vinz,2015-07-17,186443,56,0.44,0.769,0.437,0.0,0.116,-6.406,0.0363,103.921,4
15,2015,Shut Up and Dance,TALKING IS HARD,WALK THE MOON,2014-12-02,199080,83,0.00701,0.578,0.866,0.0,0.257,-3.804,0.0619,128.038,4
16,2015,Classic Man (feat. Roman GianArthur),Classic Man (feat. Roman GianArthur),Jidenna,2015-02-03,226000,59,0.185,0.79,0.585,0.0,0.292,-6.058,0.0348,94.072,4
17,2015,Tell Your Friends,Beauty Behind The Madness,The Weeknd,2015-08-28,334333,0,0.246,0.584,0.455,0.0,0.181,-11.066,0.0488,74.634,4
18,2015,Shameless,Beauty Behind The Madness,The Weeknd,2015-08-28,253506,0,0.121,0.602,0.559,0.0,0.107,-8.277,0.0276,100.021,4
19,2015,Runaway (U & I),Runaway (U & I),Galantis,2014-10-05,227073,53,0.00711,0.506,0.805,0.00193,0.0856,-4.119,0.0469,126.008,4
20,2015,Let It Go,Chaos And The Calm,James Bay,2014-12-15,260533,70,0.818,0.546,0.311,1.65e-05,0.107,-10.396,0.0288,147.464,4
21,2015,Do It Again,Do It Again,Pia Mia,2015-05-04,207746,72,0.0266,0.712,0.564,0.0,0.0874,-6.527,0.047,95.95,4
22,2015,Acquainted,Beauty Behind The Madness,The Weeknd,2015-08-28,348853,0,0.464,0.38,0.481,0.0,0.0765,-9.874,0.0567,105.36,4
