,Year,Title,Album,Artist,Release_Date,Duration,Popularity,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Time_Signature
0,2015,Uptown Funk (feat. Bruno Mars),Uptown Special,Mark Ronson,2015-01-12,269666,83,0.00801,0.856,0.609,8.15e-05,0.0344,-7.223,0.0824,114.988,4
1,2015,Thinking out Loud,x (Deluxe Edition),Ed Sheeran,2014-06-21,281560,83,0.474,0.781,0.445,0.0,0.184,-6.061,0.0295,78.998,4
2,2015,See You Again (feat. Charlie Puth),See You Again (feat. Charlie Puth),Wiz Khalifa,2015,229525,82,0.369,0.689,0.481,1.03e-06,0.0649,-7.503,0.0815,80.025,4
3,2015,What Do You Mean?,Purpose (Deluxe),Justin Bieber,2015-11-13,205680,78,0.59,0.845,0.567,0.00142,0.0811,-8.118,0.0956,125.02,4
4,2015,Lean On,Peace Is The Mission (Extended),Major Lazer,2015-11-27,176561,73,0.00346,0.723,0.809,0.00123,0.565,-3.081,0.0625,98.007,4
5,2015,"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack","Earned It (Fifty Shades Of Grey) [From The ""Fifty Shades Of Grey"" Soundtrack]",The Weeknd,2014-12-23,252226,77,0.385,0.659,0.381,0.0,0.0972,-5.922,0.0304,119.844,3
6,2015,"Love Me Like You Do - From ""Fifty Shades Of Grey""",Delirium (Deluxe),Ellie Goulding,2015-11-06,252534,79,0.247,0.262,0.606,0.0,0.125,-6.646,0.0484,189.857,4
7,2015,Daddy Issues,Wiped Out!,The Neighbourhood,2015-10-30,260173,87,0.0678,0.588,0.521,0.149,0.123,-9.461,0.0329,85.012,4
8,2015,The Nights,The Days / Nights,Avicii,2014-01-01,176658,86,0.0166,0.527,0.835,0.0,0.249,-5.298,0.0433,125.983,4
9,2015,Stressed Out,Blurryface,Twenty One Pilots,2015-05-15,202333,85,0.0462,0.734,0.637,2.29e-05,0.0602,-5.677,0.141,169.977,4
10,2015,Blank Space,1989,Taylor Swift,2014-10-27,231826,76,0.085,0.753,0.678,1.64e-06,0.13,-5.421,0.0644,96.006,4
11,2015,The Less I Know The Better,Currents,Tame Impala,2015-07-17,216320,84,0.0115,0.64,0.74,0.00678,0.167,-4.083,0.0284,116.879,4
12,2015,Don't,T R A P S O U L,Bryson Tiller,2015-10-02,198293,84,0.223,0.765,0.356,0.0,0.0963,-5.556,0.195,96.991,4
13,2015,Love Yourself,Purpose (Deluxe),Justin Bieber,2015-11-13,233720,84,0.835,0.609,0.378,0.0,0.28,-9.828,0.438,100.418,4
14,2015,One Last Time,My Everything (Deluxe),Ariana Grande,2014-08-25,197266,83,0.093,0.628,0.593,1.65e-06,0.096,-5.036,0.0323,125.026,4
15,2015,The Hills,Beauty Behind The Madness,The Weeknd,2015-08-28,242253,88,0.0671,0.585,0.564,0.0,0.135,-7.063,0.0515,113.003,4
16,2015,Shut Up and Dance,TALKING IS HARD,WALK THE MOON,2014-12-02,199080,83,0.00701,0.578,0.866,0.0,0.257,-3.804,0.0619,128.038,4
17,2015,Waiting For Love,Stories,Avicii,2015-10-02,230613,82,0.31,0.579,0.736,0.0,0.198,-3.863,0.0527,127.999,4
18,2015,Electric Love,Dopamine,BØRNS,2015-10-16,218106,81,0.00543,0.611,0.797,0.00137,0.26,-7.627,0.0533,120.041,4
19,2015,Like I Can,In The Lonely Hour,Sam Smith,2014-05-26,167065,81,0.343,0.656,0.627,2.17e-05,0.124,-6.627,0.0379,99.933,4
20,2015,Centuries,American Beauty/American Psycho,Fall Out Boy,2015-01-20,228360,80,0.00359,0.393,0.858,0.0,0.102,-2.868,0.0729,176.042,4
21,2015,Time of Our Lives,Globalization,Pitbull,2014-11-21,229360,80,0.0921,0.721,0.802,0.0,0.694,-5.797,0.0583,124.022,4
22,2015,Cool for the Summer,Confident,Demi Lovato,2015-01-01,214739,80,0.00425,0.583,0.61,0.000105,0.14,-5.639,0.0382,114.06,4
23,2015,Can't Feel My Face,Beauty Behind The Madness,The Weeknd,2015-08-28,213520,82,0.113,0.705,0.769,0.0,0.105,-5.526,0.0425,107.949,4
24,2015,Sorry,Purpose (Deluxe),Justin Bieber,2015-11-13,200786,81,0.0797,0.654,0.76,0.0,0.299,-3.669,0.045,99.945,4
25,2015,Drag Me Down,Made In The A.M. (Deluxe Edition),One Direction,2015-11-13,192120,80,0.109,0.73,0.703,0.0,0.0657,-5.672,0.0369,138.113,4
26,2015,Like I'm Gonna Lose You (feat. John Legend),Title (Deluxe),Meghan Trainor,2015-01-09,225053,79,0.4,0.63,0.53,0.0,0.177,-7.259,0.0434,108.038,3
27,2015,Outside (feat. Ellie Goulding),Motion,Calvin Harris,2014-10-31,227266,79,0.213,0.646,0.823,0.0,0.322,-4.123,0.0394,128.035,4
28,2015,Way down We Go,A/B,KALEO,2016-06-10,213706,79,0.579,0.489,0.505,0.000333,0.104,-8.022,0.117,163.255,4
29,2015,Perfect,Made In The A.M. (Deluxe Edition),One Direction,2015-11-13,230333,79,0.0598,0.647,0.823,0.0,0.119,-5.231,0.0762,99.933,4
30,2015,Love Me Harder,My Everything (Deluxe),Ariana Grande,2014-08-25,236133,78,0.00937,0.472,0.714,0.0,0.0764,-4.389,0.0334,98.992,4
31,2015,Hotline Bling,Views,Drake,2016-05-06,267066,78,0.00258,0.891,0.628,0.00019,0.0504,-7.863,0.0551,134.966,4
32,2015,Locked Away (feat. Adam Levine),What Dreams Are Made Of,R. City,2015-10-09,227480,78,0.304,0.509,0.671,0.0,0.0452,-5.709,0.0678,118.413,5
33,2015,FourFiveSeconds,FourFiveSeconds,Rihanna,2015-01-24,188238,77,0.875,0.582,0.272,0.0,0.13,-5.662,0.0501,205.846,4
34,2015,Chill Bill (feat. J. Davi$ & Spooks),Chill Bill (feat. J. Davi$ & Spooks),Rob $tone,2016-06-17,177184,77,0.0312,0.886,0.427,0.00099,0.0906,-10.028,0.145,108.034,4
35,2015,Lush Life,So Good,Zara Larsson,2017-03-17,201122,77,0.132,0.694,0.712,0.0,0.211,-3.923,0.046,98.023,4
36,2015,Dear Future Husband,Title (Deluxe),Meghan Trainor,2015-01-09,184226,77,0.375,0.655,0.782,0.0,0.317,-4.789,0.185,79.427,4
37,2015,Fight Song,Wildfire,Rachel Platten,2016-01-01,204013,77,0.0549,0.564,0.714,0.0,0.155,-4.987,0.129,175.924,4
38,2015,Sugar (feat. Francesco Yates),Sugar,Robin Schulz,2015-09-25,219043,77,0.0185,0.636,0.815,0.0,0.163,-5.098,0.0581,123.063,4
39,2015,How Deep Is Your Love,How Deep Is Your Love,Calvin Harris,2015-07-17,212640,76,0.0392,0.738,0.868,0.00169,0.388,-4.373,0.0731,122.003,4
40,2015,Take Me to Church,Hozier (Expanded Edition),Hozier,2014-09-19,241693,76,0.634,0.566,0.664,0.0,0.116,-5.303,0.0464,128.945,4
41,2015,oui,Late Nights: The Album,Jeremih,2015-12-04,238320,76,0.213,0.418,0.724,0.0,0.112,-3.724,0.0964,78.521,5
42,2015,Firestone,Cloud Nine,Kygo,2016-05-13,271640,76,0.393,0.704,0.634,3.17e-05,0.0952,-7.374,0.0428,113.927,4
43,2015,Renegades,VHS,X Ambassadors,2015-06-30,195200,76,0.0144,0.526,0.862,0.0597,0.229,-6.003,0.0905,90.052,4
44,2015,My House,My House,Flo Rida,2015-04-07,192190,76,0.0215,0.688,0.702,0.0,0.128,-4.792,0.0499,94.006,4
45,2015,In The Night,Beauty Behind The Madness,The Weeknd,2015-08-28,235653,76,0.0796,0.505,0.68,0.0,0.0465,-4.993,0.0714,168.022,3
46,2015,Stitches,Handwritten,Shawn Mendes,2015-04-14,206880,76,0.0151,0.752,0.754,0.0,0.0486,-6.684,0.0615,149.789,4
47,2015,Style,1989,Taylor Swift,2014-10-27,231000,75,0.00253,0.598,0.786,0.0016,0.117,-5.572,0.0383,95.019,4
48,2015,King Kunta,To Pimp A Butterfly,Kendrick Lamar,2015-03-16,234693,75,0.00589,0.884,0.657,0.0,0.154,-4.569,0.0977,107.059,4
49,2015,I Don't Fuck With You,Dark Sky Paradise,Big Sean,2015-02-24,284386,75,0.0362,0.824,0.733,0.0,0.325,-5.474,0.0613,97.972,4
50,2015,Black Magic,Get Weird (Expanded Edition),Little Mix,2015-11-06,211786,75,0.0343,0.776,0.875,0.0,0.314,-5.535,0.0575,111.988,4
51,2015,When We Were Young,25,Adele,2015-11-20,290900,74,0.303,0.376,0.595,0.0,0.095,-5.936,0.0496,144.361,4
